User_Tweet,Company_Reply,Expected_Intent,Expected_Action (auto_handle/escalate)
"Toll, wie mein Handy während der Zugfahrt ca. alle 5 Minuten seine Datenverbindung verliert. An wem liegt‘s, @AppleSupport oder @260566?",@774809 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Software Bug,auto_handle
@AppleSupport It's okay now 🙈,@585934 Thanks for letting us know.  If you need anything else be sure to let us know.,General Feedback,auto_handle
@AppleSupport Why am I unable to buy music w/ my card when I’ve little more than enough money in it than the amount of the song I’m buying?,"@186240 Thanks for reaching out. If you're experiencing iTunes billing issues, contact our iTunes Store Support here: https://t.co/SDIe7UiyJN",Account Support,escalate
@AppleSupport please fix iOS 11 I’m lucky if my phone lasts me an hour without dying,@609682 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
Hey @AppleSupport why do custom lyrics added in iTunes not survive syncs to iOS devices?,@322957 We can certainly help look into these lyrics with you. What version of iTunes do you have &amp; are you an Apple Music subscriber?,Feature Inquiry,escalate
@115858 WHEN THE FUCK ARE YOU GOING TO FIX THE “I️”,"@663913 We've recently released iOS 11.1.1, which includes a fix for autocorrect issues. Let's create a backup and update your iPhone, following the steps here: https://t.co/80YRnjDFDk",Software Bug,escalate
@115858 iPhone 7 GLITCHY as hell #wtf #apple 💔😡 https://t.co/BIYIBxj1N5,@352796 Let's look into this together. Send us a DM including the exact iOS version installed. We'll go from there. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"@AppleSupport is this real? Seems legit. Haha 

-Sent from my @1647 Galaxy S7 Edge https://t.co/cqNqxHkk9o",@262402 We'd like to help and look into this with you. Please DM us details of the sender's address and we'll confirm if this came from our support team there. https://t.co/GDrqU22YpT,Account Support,escalate
@AppleSupport With all apps,@682671 Got it. Does this happen when testing both the rear and front cameras? Which iOS version did you have installed prior to this update?,Hardware Defect,escalate
"@115858 why does your new iPhone update suck?
Getting ghost calls. Apps open super slow and everything is buggy.",@586377 We'd like to look into the trouble you're having. Please send us a DM with which version of iOS 11 you've updated to. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"Atualizei o iOS e não consigo mandar áudio no WhatsApp 😩😩
@AppleSupport help me please 😩
•
@115858","@196980 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",Software Bug,auto_handle
@AppleSupport That one https://t.co/DBg8tni0rG,@211378 Thanks for checking that out and providing those photos. Send us a DM letting us know what happened prior to this: https://t.co/GDrqU22YpT,Software Bug,escalate
So the yall release the iPhone X then anytime I️ type the letter “I” this shit pops up. @AppleSupport @115858 @AppleSupport fix your shit https://t.co/pSZFwDthSu,@486434 Check out this article and DM us if you have questions: https://t.co/xU1AGHStV6 https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport hi. Your last update messed up my phone and I’m very upset! Never buying another iPhone again,@662982 Let's help get sorted for you. Please DM us what is going on with your device and we can go from there together. https://t.co/GDrqU22YpT,Software Bug,auto_handle
The new #ios11 is killing my battery! From 100% to 75% in only 30 min. WTF @115858!,@693424 Send us a DM and let us know when you updated to 11.0.3: https://t.co/80YRnjDFDk Include the country you're in. https://t.co/GDrqU22YpT,Battery Issue,escalate
@AppleSupport iPhone 6S with the most recent iOS.,@130264 Thanks! Have you noticed if this is occurring when using specific apps? Please DM us so we can look into this further. https://t.co/GDrqU22YpT,Software Bug,escalate
@115858 latest iPhone update has ruined my iPhone 7. It keeps crashing and the screen keeps going blank,@320710  We want to help.  Send us a DM letting us know if you are updated to iOS 11.0.3.,Software Bug,auto_handle
@AppleSupport Beats x and iOS 11.0.3,"@669920 In iOS 11, the Today view can be edited and widgets can be added, including the Batteries widget: https://t.co/0iiiCXOKEV",Feature Inquiry,escalate
@AppleSupport I tried that but it says that I need the email associated with the order the original message I received came from __email__,"@220983 If an item was ordered through your Apple ID, you can go to https://t.co/wkpIus7aP3 to get details. It's also possible someone may have transposed their phone number for notifications to your phone number.",Account Support,escalate
"@AppleSupport having problems downloading apps from App Store, what should I do? Username and password is all set it just won’t load 🤔",@501782 We'd be happy to look into this with you. Please DM us so we can gather further details. https://t.co/GDrqU22YpT,Software Bug,auto_handle
.@115858 @AppleSupport WHY DOES MY UPDATE CAPITALIZE RANDOM WORDS LIKE Four and Something?! IT’S DRIVING ME CRAZY!!!!,@662816 We're glad you reached out. This article can help with predictive text: https://t.co/U5VKSTl2CD Let us know if you have questions.,Software Bug,escalate
@784955 @115858 My 8 plus still glitches. It’s the update that sucks,@660522 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport 3 days later and still not working,@490703 We're here to help. Please meet us in DM and we'll continue working together there. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport Yup,@691752 Thanks for confirming that. Can you provide us which iOS version is on your device? This can be located in Settings &gt; General &gt; About &gt; Version.,Software Bug,auto_handle
"@115858 I have a series 3 watch that I just got. Felt a burning feeling on my wrist, took my watch off and had a big blister. Any ideas??? https://t.co/AulfytrOzh",@797555 We want to do everything we can to help. DM us and we'll continue from there. https://t.co/GDrqU22YpT,Hardware Defect,auto_handle
@AppleSupport Hi there! The device is now generally very slow and sluggish... even after reboot and all apps closed,@246738 Thank you. Which iOS 11 version is installed currently? You'll find that from Settings &gt; General &gt; About.,Software Bug,auto_handle
Absolutely love how the new iPhone update crashes all my apps when my phone is 4 months old. @115858,@764483 We're here to help. Can you DM us more about what's going on with your iPhone? Which iPhone and iOS version you're using? https://t.co/GDrqU22YpT,Software Bug,auto_handle
Handy how my loud speaker has stopped working since the new update. Cheers @115858 👍🏻 nice one,@184696 We want to check this out. Send us a DM and we will go from there. https://t.co/GDrqU22YpT,Hardware Defect,auto_handle
@AppleSupport I do. I tried it before but I got the message saying that I had mono Internet connection,@356549 Okay. Let's keep working on this from DM. Join us here: https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport This glass is substandard.,@202928 We know scratches to a device screen are no fun. We'd be happy to look into your situation. Please DM us here: https://t.co/GDrqU22YpT,Hardware Defect,escalate
. @115858 @AppleSupport any reason why the iPhone X battery would be draining rather quick?,@146512 Let's take a look. Send us a DM and let us know the iOS version you're running. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
@AppleSupport I have a bug I need to report but I’m not a developer or running a public beta. What do I need to do?,@312581 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,Feature Inquiry,auto_handle
"Updated iMovie, now only HALF of the audio is imported??? 😩😩😩@AppleSupport https://t.co/92suNepQTk",@297959 Let's look into this together. Please DM us and let us know any steps you've tried so far to address this issue. https://t.co/GDrqU22YpT,Software Bug,escalate
@AppleSupport 11.1.1 and about to take the 11.1.2,@765667 Make sure you have a backup before updating. Let us know what happens once that's completed.,Software Bug,escalate
@AppleSupport No.  The Get turns into a swirling circle that just keeps swirling.  Could go on for minutes.  It's like it's thinking ...,@303998 Are you trying to download apps on Wi-Fi or cellular?,Software Bug,escalate
".@AppleSupport @115858 Is there a way to have my media function keys work like the used to before I upgraded to High Sierra? ie have them actually play/pause/forward my music in iTunes/Spotify, not whatever you changed them to do now? This is v frustrating :(","@784249 While you may need to reach out to the Spotify app developers, we'd like to see how we can help from our end of things. What exactly is happening after updating your Mac with the Spotify app?

Also, does the same thing occur in one of the apps included, like iTunes?",Feature Inquiry,escalate
@AppleSupport  I purchased something from you guys and I canceled the order and I need my money back on my credit card 😩😩,@483400 Thanks for contacting us. Was this an Apple Online Store purchase? Or was it an App Store or iTunes download purchase?,Account Support,escalate
Can’t buy anything on https://t.co/oFbDsnOhqP—payment isn’t working (either direct through credit card or through PayPal) @AppleSupport,@685334 We recommend reaching out to our Sales Support team via the following link: https://t.co/8yjRd1Xo0i,Account Support,escalate
@115858 yo fix this,"@667093 Let's work on this together. Which iOS are you running? Check here: Settings &gt; General &gt; About. If you're not already on iOS 11.1.1, we recommend updating to that and checking to see if the issue persists: https://t.co/80YRnjDFDk",Software Bug,escalate
"@AppleSupport Before restarting, I also attempted several numbers until I exceeded the limit, so the iCloud keychain should no longer exist, but it’s still asking for a pin.","@779816 Go ahead and send us a DM, please. Let us know the country you're in. https://t.co/GDrqU2kzhr",Account Support,escalate
"Nach iOS Update erneut d. Problem, d. Akkuanzeige beim 6s und tatsächlicher Akku n. übereinstimmen und Handy mit 30% aus geht @AppleSupport",@392691 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Battery Issue,auto_handle
I feel like of all the letters for @115858 to have a glitch with - the letter “I” shouldn’t be it... they need to fix this ASAP...,@630504 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
"@applesupport I'm having some issues with iPhone 6s, running 11.1.2. Overnight it has developed a bug where every 2-3 mins the screen will go black and a spinning wheel will appear, after that it goes to the lock screen and wants my passcode. I've tried restoring, plz help!","@258333 We can get you back up and running with your iPhone. Check out the steps in the following article: https://t.co/osZOKKTalm

DM us if you're still having issues after that.",Software Bug,escalate
This iPhone update is straight garbage my phones has been fucked ever since @AppleSupport,@467766 We’re here to address your concerns. Please share a few additional details about your issue in DM. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport Hi . Since updating to iOS 11 I have been having issues with my 7 plus.It keeps freezing on Almost every app. Is there a fix?,@518415 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport sent you a message. Can you reply ASAP?,@288022 We have received your DM and will continue there.,Account Support,auto_handle
I'm about to file a lawsuit against @115858 . Why am I being charged $8 every 7 days for something  I never authorized.  #mad #sueapple this is the second time. 😡😡😡 #confused #refundmymoney,@770589 We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT,Account Support,escalate
@AppleSupport I am using an Apple Watch.,@171869 Let’s team up in DM and we’ll do our best to assist you. https://t.co/GDrqU22YpT,Feature Inquiry,auto_handle
@115858 @AppleSupport upgrade from iPhone 7 Plus to iPhone 8 Plus all my photos are gone. It's still in iCloud but not on the phone help?????,@554431 Let's see what we can do to help. Send us a DM with more details as to how this happened and we can get started. https://t.co/GDrqU22YpT,Account Support,escalate
@115858 @AppleSupport you need to fix this NOW!!! https://t.co/maMWEKcF22,@527133 We want to help. Would you tell us more about what's happening in DM? https://t.co/GDrqU22YpT,Software Bug,auto_handle
@568205 @115858 yes ! and when i charge it .. it last for no more than 10 minutes then back to square one,"@568204 We want your iPhone to function the way you expect it to, and we’ll be glad to help. To start, DM us the iOS version it’s on. https://t.co/GDrqU22YpT",Battery Issue,auto_handle
Apparently the new @115858 update is obsessed with me never typing I️ ever again. I’m living in the world of Ayn Rand’s Anthem all the sudden,"@410318 Fill us in via DM on what exactly is occurring, then we can work together to get it resolved. https://t.co/GDrqU22YpT",Software Bug,auto_handle
@AppleSupport It’s private &amp; it’s only hooked up to that WiFi,"@417257 So we can rule out network concerns, are you able to test with an alternate Wi-Fi source to see if it's able to connect?",Software Bug,escalate
So @115858... can you let us know which of the updates is actually going to work? You pretty much messed up my phone 😤,@547190 We'd love to help you get your iPhone working in the way you expect. DM us details about what's going on and we'll get started. https://t.co/GDrqU22YpT,Software Bug,auto_handle
Hi @AppleSupport - why is my battery unable to cope since the latest iPhone update?? What’s going on?!,@152531 Hey there. Let's get to work on this together. Please shoot us a DM and we'll get started. Tap here to continue: https://t.co/GDrqU22YpT,Battery Issue,auto_handle
@AppleSupport hi...I can’t add my credit card in my payment information...why?and do I have to use specific bank?,@314649 Let's take a look into this together. DM us and we'll get started. https://t.co/GDrqU22YpT,Account Support,auto_handle
So like... is @115858 ever going to fix the whole question mark symbol thing or what?,@632748 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
@115858 #apple #ios11update #11.0.2 so many issues! #fixit @116333,"@614079 Are you experiencing trouble with your device? Send us a DM to tell us more, and we'll work together to resolve it. https://t.co/GDrqU22YpT",Software Bug,auto_handle
@AppleSupport I can get a faster response from a pile of dirt,@189689 We apologize for any delay you're experiencing. You have a question about using Numbers on an iPad Pro with iCloud Drive. We have Advisors who specialize in these iOS apps. You can reach them here: https://t.co/IBIY3vMgPj,Feature Inquiry,escalate
@AppleSupport Still nothing,"@212459 Got it. Meet up with us in DM, and we'll look into some other options to get this taken care of. https://t.co/GDrqU22YpT",Software Bug,auto_handle
@AppleSupport I got this https://t.co/LUpYFOoGEm,@511244 We appreciate the screenshot. Please follow the steps in this support article for that error: https://t.co/VtLfFWoKGX,Software Bug,escalate
"Lo de iOS 11 en el iPhone SE es una lacra, haced algo ya, bloqueos constantes, drenaje de batería, mala conexión bluetooth @115858. https://t.co/RohWtHpncy",@451098 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Software Bug,auto_handle
@AppleSupport Not sure why I’m getting this message when tapping on details for a calendar event. What can I do to resolve it? https://t.co/jKwaWa0bik,@309650 Thanks for reaching back out to us. Does this still happen on restarting your watch?,Software Bug,escalate
@4305 the most affected app (for me) by the new #ios11 update. And a whole lotta others @115858. Everything hangs. #googlekeyboard,@513056 We can help you. Are you experiencing this only while using WhatsApp? Please DM us. https://t.co/GDrqU22YpT,Software Bug,escalate
Anyone else find that when you type the letter “I” it autocorrects to the letter “A” with a symbol? @115858 @AppleSupport fix it,@525897 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
@AppleSupport cell service continually wing dropped on iPhone 6s after iOS 11 upgrade. Using Maps is useless and dangerous. How to fix?,@359887 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,Software Bug,auto_handle
What’s wrong? @AppleSupport @115858 #IOS11 https://t.co/18x8g9qDAC,@754121 We'd be happy to take a look for you. Please send us a DM. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport How come IOS 11 has been really sluggish? Its been one of the worst IOS’s smh,@265429 We know how essential it is for your iPhone to run quickly. Let's get to the bottom of this together. Have you installed the iOS 11.1.2 update? Can you DM us if specific apps are running slower than others? https://t.co/GDrqU22YpT,Software Bug,escalate
"Confused why my iPhone is charging and still losing power? @115858, what’d you do? 🤔",@662653 We'd like to look into this together. When did this start happening? What version of iOS are you running currently?,Battery Issue,escalate
"Hey @AppleSupport, my 2016 MBP has been crashing at least once per day. Care to give me some insight based on a crash report?",@548992 Thanks for reaching out. It's certainly unexpected for your MacBook to be crashing. Let us know more about this via DM. https://t.co/GDrqU22YpT,Software Bug,escalate
What have you done @AppleSupport https://t.co/vosDDLtJiy,@536665 Thanks for bringing this to our attention. Please send us a DM and provide us more details about what you're experiencing. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport I bought a new iPhone 7 2 weeks ago. Was 100% @ 5pm yest and down to 3% already without barely using it. I thought the battery was menabe better!!?? Pls help,@664039 We're happy to help. Try these tips for battery life and let us know in DM if you still have an issue: https://t.co/TpjqFp3jxD https://t.co/GDrqU22YpT,Battery Issue,escalate
Dear @115858 your update killed my phone as it started to freeze doesn’t respond to what I want open. Hope u fix it soon,@561236 We’d like to learn more about your experience. Please DM us which device and version of iOS 11 you’re using to begin. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport Hi 11.1.1 has made my iPhone 6S unusable....switches off and on....battery says 1% then 43%....please advise,@691751 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
@115858 @AppleSupport just got a call saying to not use my Apple device. Pretty sure it’s a Spam call. Here’s the number: 855-401-0829. FYI.,"@450093 Thanks for the heads up! That doesn't sound like it was from us. Connect with us by DM, and let us know more about the call. https://t.co/GDrqU22YpT",Account Support,escalate
"@AppleSupport my songs aren’t downloading, it just keeps spinning https://t.co/rRmt4q48Ud",@559096 Have you restarted your iPhone since this happened? DM us if that doesn't help. Restart your iPhone: https://t.co/d59djUbfjV https://t.co/GDrqU22YpT,Software Bug,escalate
@AppleSupport Thank you so much! I have the #iPhone7,@208026 Can you tell us more about what's happening with WhatsApp?,Software Bug,escalate
@321322 @115858 What's the issue? I have the same problem :(,"@321321 Hey, we can help you. DM us some more details and we'll work together. https://t.co/GDrqU22YpT",Software Bug,auto_handle
@115858 any idea when you’ll fix the 11.0.2 update? I have had to completely shut my phone down multiple times because it locked up!,"@298853 We'd be happy to take a look into this. Send us a DM, and we'll get started. https://t.co/GDrqU22YpT",Software Bug,auto_handle
"What the hell is this, @115858 ? You're making my phone glitch so hard that I can't end phone calls now? Shits annoyin https://t.co/vdcyIIL7Eg","@668459 Thanks for reaching out to us, we're here for you. Which iOS version is your iPhone running? How to find the iOS version: https://t.co/ZTw54HL4Rm",Software Bug,escalate
"@AppleSupport iPhone 7 and yes, it’s up to date.",@774973 We want to find a fix for this issue for you. Please send us a DM and we'll help you. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@238155 Cc: @AppleSupport new feature request for next iOS version.,@511888 We value your feedback. You can submit your feedback by using this link:  https://t.co/eTPVYVFyd8,Feature Inquiry,escalate
"@AppleSupport My iPhone 7 has been lagging a lot since I’ve updated to iOS 11 &amp; now 11.0.2 
Please help. #iOS11Update","@312519 Thanks for reaching out! Let us know via DM if you've experienced this lagging when typing, or when using other apps as well? https://t.co/GDrqU22YpT",Software Bug,escalate
"i cant access my iphone 7 plus because of this activation lock, helpppp @AppleSupport","@313425 Hi there. We received your DM, and we'll follow up there shortly to see how we can help. https://t.co/GDrqU22YpT",Account Support,auto_handle
"New iPhone out and my old iPhone suddenly starts running like hot garbage. I should definitely upgr... wait... you don’t think that was planned, do you?... nah, @115858 wouldn’t do that 🙄🙄🙄",@771698 We'd be happy to look into any issues you may be having. Could you please send us a DM so we can gather some information and get started? https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport you need to fix yo shit and all this glitching going on... i’m tired of these apps doing things on their own,@815220 We'd like to help. Send us a DM. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@115858 @188 1. @115858 get your shit together and fix the 👁 2. Facebook I️ don’t want your @115821  adds to ever be on my feed 3. 👁 can’t even,@630512 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
@AppleSupport how do i stop getting these notifications every single day i back my stuff up through google because it’s infinitely better than iCloud https://t.co/sZiwZkiDYX,"@331093 Hello! Take a look at this article: https://t.co/7vNd2QAL5s Scroll down to the section titled ""Backups"".",Feature Inquiry,escalate
"@AppleSupport i just got this email. Is it scam because if not something is really wrong. We don't have any single apple
devices 🙃 https://t.co/Kdn8OFTpUa",@566238 We're happy to help. Take a look here for more info on identifying and reporting phishing attempts:  https://t.co/LNMCdqt6fD,Account Support,auto_handle
@299652 @115858 Same!! I did the update that’s supposed to “fix the bugs” and it still messes up 😡,"@299651 We want to help! What issues are you experiencing, and on what device? DM us more details here: https://t.co/GDrqU22YpT",Software Bug,auto_handle
"@AppleSupport hi, i can't install iOS 11.1, it says an error has occurred while verifying",@331181 Let's help you with the update. Are you updating over-the-air or via iTunes?,Software Bug,escalate
"@AppleSupport Depuis la MAJ, ma batterie se vide à une vitesse folle !",@461374 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Battery Issue,auto_handle
@AppleSupport 😩😩😩 https://t.co/cNpF0GXsyY,@533161 We an help with this. Have you tested this with another wireless network? DM us your answer to continue. https://t.co/GDrqU22YpT,Software Bug,escalate
@AppleSupport @115858 . I have been chasing for a simple confusing iCloud issue for ages. Your Indian support team is a joke #apple,@169952 We're happy to help however we can. Please let us know a bit more about what's going on in DM. https://t.co/GDrqU22YpT,Account Support,auto_handle
I assume this is another phishing attempt? @AppleSupport https://t.co/e00ZYl1MeT,@473944 We're happy to help. We have an article here that can explain potential phishing attempts: https://t.co/UmPh98sRKr,Account Support,auto_handle
@AppleSupport Viewing messages,"@232105 When you see the symbols instead of ""I"" it's likely that the person making the post has not yet installed the iOS 11.1.1 update. If you see them when you're typing messages, let us know and we'll be happy to troubleshoot with you.",Software Bug,escalate
"@AppleSupport how can I FULLY hide all notification text from the Messages app?

When I hide text of notifications for other apps, they hide the whole text
Thanks! https://t.co/TBeRpyK432",@176768 We're here for you. There is not a way to hide the phone number or contact name from the preview/notification on the lock screen.,Feature Inquiry,escalate
"@562922 @115858 I haven’t had specific issues, just that my battery life goes down about 70% faster. Shocking, right when the new iPhone comes out 😱🙊","@562921 Battery life is important, and we're here for you. DM us the iOS version your device is running, and we'll go from there. https://t.co/GDrqU22YpT",Battery Issue,auto_handle
"@AppleSupport Tried all of them, but unfortunately no, they didn't.","@679436 Did Siri and notifications work as expected prior to updating to iOS 11.1.1? Does restarting your iPhone effect this issue at all? If we haven't already, let's try restarting now.",Software Bug,escalate
At this point I’m better off with a flip phone @115858 @AppleSupport https://t.co/Da5VVYxL8v,"@533932 We want to help you. DM us, and we'll look into what's going on. https://t.co/GDrqU22YpT",Software Bug,auto_handle
Why cant i update my software @AppleSupport,@666880 We'd like to help! Are you getting any error messages?,Software Bug,escalate
"@AppleSupport If I tap on msg icon or send message, Messages window opens instead of specific window, whr I could compose msg for specific contact https://t.co/2fv74NxSXB","@678373 Got it. Let's go to ""Settings &gt; Contacts &gt; Default Account"" and let us know what you have set here in a DM. We'll pick up from there. https://t.co/GDrqU22YpT",Software Bug,escalate
Dear @AppleSupport; I'm having App Store problems AND you're not responding to my emails. https://t.co/tGU1lkV9vp,"@801410 We want to help. In DM could you please share a few details with us about what you're experiencing? Also, which software version are you using on your Mac? https://t.co/GDrqU22YpT",Account Support,escalate
@AppleSupport For starters my phone keeps freezing. My messages are sending out of order and then disappearing. I keep having to restart my phone!!!,@803778 Thanks for following up. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"What is wrong with my phone @AppleSupport the brightness, volume, WiFi and Bluetooth adjust themselves at will SEND HELP",@313382 We'd love to help you. Let's work on these issues from DM. Please join us here: https://t.co/GDrqU22YpT,Software Bug,auto_handle
Feeling super pissed off with @AppleSupport (&amp; with @115858). Almost wondering about returning to Android. What is the point in a watch whose screen smashes through the normal wear of an active person?,@623054 We'd love to take a look. Please DM us so we can gather further details. https://t.co/GDrqU22YpT,Hardware Defect,auto_handle
"Just updated my phone AGAIN and now half my pictures are black! WTF, @AppleSupport",@645669 We'd like to look into this. Join us in DM and let us know if you use iCloud Photo Library. https://t.co/GDrqU22YpT,Software Bug,escalate
@115858 The new software update 11.0.3 is making me cry. Most of my apps hang. +/- actions on volume button shows no visual representation.,@554118 We'd be happy to see how we can help. Which device are you seeing this on?,Software Bug,escalate
"@AppleSupport I have try it with an iPhone 7 and iPhone 8S, same problem. The problem is there with Videoshop also so it’s not iMovie.","@121032 Is it all websites with audio, or just certain ones? In case you haven't seen it, here is our official information on screen recording that includes how to record with audio: https://t.co/3AvFrytbBb",Software Bug,escalate
"Hey @115858 ,today for the first time since 2011 i woke up and my phone turned off by itself @ night.Please fix ios11 or let us go back to 10",@324912 Let's look into this for you. Send us a DM and we can check on available options. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"@AppleSupport I was able to lock them unlock the phone . The icons are back to normal. Happened exiting an app, no updates, etc.","@143870 To confirm, does the issue now appear to be resolved?",Software Bug,escalate
"So we really just gonna ignore this in the 11.1 update @applesupport ?

oh ok. https://t.co/bOnwOeMNlp",@480055 We're here for you. Please reach out to us via DM and we can go from there. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"@AppleSupport Hi, I'm having some issues with iPhone 6s, running 11.1.2. Overnight it has developed a bug where every 2-3 mins the screen will go black and a spinning wheel will appear, after that it goes to the lock screen and wants my passcode. I've tried restoring, plz help!",@239222 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU2kzhr,Software Bug,auto_handle
@AppleSupport Text messages and also using other apps. It happens whenever I’m typing. Starting a message or replying back to someone,@708190 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"@AppleSupport My mmams iPhone 6 has been restarted and now is stuck on the choose wifi network screen. The password wont work, please help.",@539970 Let’s team up to get her reconnected. Does this happen with multiple Wi-Fi networks? Let us know via a DM. We’ll go from there. https://t.co/GDrqU22YpT,Software Bug,escalate
"The newest IOS 11.__credit_card__ is draining the S*** out my battery life. Hey @AppleSupport, can you please do something about it.",@162088 We'd like to help. Please DM us the device you're using and we'll get started. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
@AppleSupport The call won't get connected to the other iPhone . I am using the iPhone 6,@300264 Thank you for those details. Have you had a chance to try the steps here: https://t.co/ykxNO0jLw6 Let us know the results.,Software Bug,escalate
Don't you just love it when your phone keeps dying on 20% battery... sort it out @115858 😩😩 #FirstWorldProblems #iphone,@622680 Battery life is very important. We'd like to help out. Does this happen while using specific apps? When did you start noticing this? Tell us in a DM: https://t.co/GDrqU22YpT,Battery Issue,escalate
"@AppleSupport وش الفايدة من فتحة الايفون7 الوحدة؟يعني ضروري أشتري سماعة بلوتوث؟
أكلمكم أنا..",@618623 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Feature Inquiry,auto_handle
Hey @AppleSupport what’s up with this I️ issue?,@472138 We're here for you. Contact us via DM using the link below. https://t.co/GDrqU22YpT,Software Bug,auto_handle
face id gets on my nerves sometimes. i wear glasses and sometimes i take them off when i'm at home and my phone doesn't recognize me. or when i have my hair up it doesn't recognize me either. ughhhhhh @115858 fix this 💀,"@807126 Reach out to us via DM and let us know which version of the iOS is currently installed, then we can take a look at this with you from there. https://t.co/GDrqU22YpT",Feature Inquiry,auto_handle
Hey @115858? Making my Bluetooth automatically turn on now every time something restarts in my phone is aggravating as hell.,@173996 The Bluetooth button is now a disconnect button in the Control Center. You can find out more here: https://t.co/G7BHuQnDS6,Feature Inquiry,escalate
The @115858 update fucked up my calendar https://t.co/tQXoEr1l5I,@412062 We'd be happy to take a closer look. Please send us a DM. https://t.co/GDrqU22YpT,Software Bug,auto_handle
. @115858 This update is brutal. My phone freezes and glitches out now. My speaker will stop working at times until I restart my phone.,@332134  We want to help.  Send us a DM letting us know if you are updated to iOS 11.0.3. https://t.co/GDrqU22YpT,Software Bug,auto_handle
I have lost 5% of my battery life in the time it’s taken me to send this tweet. Don’t update to iOS 11.0.2. Fix this @115858 @AppleSupport,@325205 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
Ma anche a voi la #SmartKeyboard di #Apple su #IpadPro ogni tanto non funziona e dovete riavviare ipad per farla funzionare? @AppleSupport,@299833 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Hardware Defect,auto_handle
@ATT and @115858 GOT SOME EXPLAINING TO DO 😭😭 #upset #SICCUD I ordered my phone before my cousin and one of my friends! My cousin got hers and my friend’s phone done been shipped!!!,"@692955 We’d like to look into this with you a bit further. How did you go about ordering the device? Let us know in DM, and we’ll keep working with you there. https://t.co/GDrqU22YpT",Account Support,escalate
"I’ve been trying to keep my phone updates consistent but it’s literally so buggy right now it’s making me not want to use my phone, I can barely send a text! @115858 what the heck is up?!",@679120 We'd like to help you with any issues that are going on with your device. Please DM us more info about what exactly is happening. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"@AppleSupport @435428 Me think it’s a worldwide problem here, @AppleSupport still wondering where the fix is. (Me has to speak like this so me don’t get A ?)",@625461 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
